match_id,modelo,modelo_ganador_global,date,stage,group,home_team,away_team,lambda_home,lambda_away,factor_contexto_home,factor_contexto_away,prob_home_win,prob_draw,prob_away_win,prob_home_win_percent,prob_draw_percent,prob_away_win_percent,predicted_class
1,Regresion Lineal,True,2026-06-11,Group Stage,A,Mexico,South Africa,2.2019846548530047,0.8268693321838022,1.1025,1.1025,0.6800810761905258,0.19982193287749497,0.12009699093197913,68.00810761905258,19.982193287749496,12.009699093197913,H
2,Regresion Lineal,True,2026-06-11,Group Stage,A,South Korea,Czech Republic,2.0158999025692714,1.2403770583999627,1.1025,1.1025,0.5455837548185355,0.23021143099350994,0.22420481418795465,54.55837548185355,23.021143099350994,22.420481418795465,H
3,Regresion Lineal,True,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,2.0848198661789934,1.0615450606238093,1.1025,1.1025,0.6011557165057176,0.22106426298684417,0.17778002050743813,60.115571650571766,22.10642629868442,17.77800205074381,H
4,Regresion Lineal,True,2026-06-12,Group Stage,D,United States,Paraguay,2.062237280116918,0.9517013622313993,1.1025,1.1025,0.6223680804118397,0.21990284744651223,0.1577290721416482,62.23680804118396,21.990284744651223,15.77290721416482,H
5,Regresion Lineal,True,2026-06-13,Group Stage,B,Qatar,Switzerland,0.7501159450948853,1.8802559420115121,1.1025,1.1025,0.13437564064502897,0.2319404793247398,0.6336838800302311,13.437564064502897,23.19404793247398,63.368388003023114,A
6,Regresion Lineal,True,2026-06-13,Group Stage,C,Brazil,Morocco,1.6263541131830213,1.211506206192417,1.1025,1.1025,0.46119462135555606,0.2633165615830931,0.2754888170613509,46.11946213555561,26.331656158309308,27.54888170613509,H
7,Regresion Lineal,True,2026-06-13,Group Stage,C,Haiti,Scotland,1.0360671330934406,1.8487654678998546,1.1025,1.1025,0.20109780111632092,0.24357938401459076,0.5553228148690885,20.10978011163209,24.357938401459077,55.53228148690885,A
8,Regresion Lineal,True,2026-06-14,Group Stage,D,Australia,Turkey,2.021348237975066,1.0575901303201558,1.1025,1.1025,0.5886163042154557,0.22702702424951315,0.18435667153503113,58.86163042154558,22.702702424951315,18.435667153503115,H
9,Regresion Lineal,True,2026-06-14,Group Stage,E,Germany,Curacao,3.2772843561111835,0.621585946755172,1.1025,1.1025,0.8683555161827394,0.09522303501000179,0.036421448807258706,86.83555161827394,9.522303501000179,3.6421448807258705,H
10,Regresion Lineal,True,2026-06-14,Group Stage,F,Netherlands,Japan,2.367996562873475,1.1522340788730796,1.1025,1.1025,0.6368747328079891,0.1983680008701586,0.1647572663218524,63.68747328079891,19.83680008701586,16.47572663218524,H
11,Regresion Lineal,True,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,1.2245691333038282,1.123928003223883,1.1025,1.1025,0.3742349053076738,0.3007828462085188,0.3249822484838074,37.42349053076738,30.078284620851882,32.498224848380744,H
12,Regresion Lineal,True,2026-06-14,Group Stage,F,Sweden,Tunisia,1.8211798174092995,1.712379832776316,1.1025,1.1025,0.40422722592519356,0.23592760498893256,0.35984516908587394,40.42272259251936,23.592760498893256,35.984516908587395,H
13,Regresion Lineal,True,2026-06-15,Group Stage,H,Spain,Cape Verde,3.3338899815541723,0.7727707711801628,1.1025,1.1025,0.8486633039188636,0.10295601449117907,0.04838068158995745,84.86633039188635,10.295601449117907,4.838068158995745,H
14,Regresion Lineal,True,2026-06-15,Group Stage,G,Belgium,Egypt,2.3658734962488124,0.9734522753866242,1.1025,1.1025,0.6763402180526376,0.19130313228190188,0.1323566496654606,67.63402180526376,19.13031322819019,13.235664966546059,H
15,Regresion Lineal,True,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,0.23991680711726743,1.7666867696727826,1.1025,1.1025,0.03984731521314112,0.2068977930235054,0.7532548917633535,3.984731521314112,20.689779302350537,75.32548917633535,A
16,Regresion Lineal,True,2026-06-15,Group Stage,G,Iran,New Zealand,2.2845837731788445,0.8833275005327358,1.1025,1.1025,0.6821619503943883,0.19452177248008468,0.12331627712552695,68.21619503943883,19.452177248008468,12.331627712552695,H
17,Regresion Lineal,True,2026-06-16,Group Stage,I,France,Senegal,2.2582444266312014,1.1923593955324574,1.1025,1.1025,0.6067934750484419,0.20888527896465062,0.1843212459869074,60.679347504844195,20.88852789646506,18.43212459869074,H
18,Regresion Lineal,True,2026-06-16,Group Stage,I,Iraq,Norway,0.9969083633236596,2.266415036051078,1.1025,1.1025,0.14587444143554082,0.20164306055775708,0.652482498006702,14.587444143554082,20.164306055775707,65.2482498006702,A
19,Regresion Lineal,True,2026-06-16,Group Stage,J,Argentina,Algeria,2.4440892089266337,0.5743166218209161,1.1025,1.1025,0.7806099727668959,0.15680127879671668,0.06258874843638737,78.06099727668959,15.680127879671668,6.258874843638737,H
